age,location,occupation,income_level,fico_score,delinquency_status,charge_off_status,number_of_credit_applications,debt_to_income_ratio,payment_methods_high_risk,max_balance,avg_balance_last_12months,number_of_delinquent_accounts,number_of_defaulted_accounts,new_accounts_opened_last_12months,multiple_applications_short_time_period,unusual_submission_pattern,applications_submitted_during_odd_hours,watchlist_blacklist_flag,public_records_flag,account_age_days,earliest_credit_account_age_days,days_recent_trade_activity,delinquency_group
56,Los Angeles,Teacher,40099,424.0,108,1,10,3.139571892877356,0,18209.38313592161,4324.930673,4.0,2,3,1,1,0,0,1,392,2277,273,High
69,New York,Engineer,2050,483.0,0,0,1,1.017488807907175,0,33673.69650382912,21726.59391588883,3.0,2,3,0,1,0,0,0,816,638,312,Normal
46,Miami,Engineer,71936,566.0,0,0,1,1.5086258177093483,0,101918.17420194212,63930.10225451282,2.0,0,2,0,0,0,0,0,1607,223,63,Normal
38,Los Angeles,Banker,6925,740.0,0,0,1,1.6596310732496211,0,29940.71406937852,24486.0934988142,0.0,0,0,0,0,1,0,0,406,1010,336,Normal
56,Dallas,Accountant,25139,563.0,0,0,1,0.8765796560005229,0,56872.14948368606,30352.353060193185,1.0,1,2,0,0,0,0,0,1498,816,380,Normal
40,Seattle,Banker,4262,518.0,100,1,3,1.941141723751627,0,28726.579655516136,6100.624274746838,4.0,2,3,1,0,0,0,1,1375,2000,241,High
28,Atlanta,Retail Worker,10495,692.0,0,0,1,1.3881667900882932,0,101381.53464146062,76615.51935132778,0.0,0,4,0,0,0,1,1,1701,1977,261,Normal
28,New York,Consultant,15932,791.0,0,0,1,2.0919430566698822,0,47774.68272615085,39534.30511841324,0.0,0,0,1,0,0,0,0,1842,3264,96,Normal
41,New York,Lawyer,46654,458.0,0,0,1,0.9022116018318465,0,67595.24603017399,64187.48323,4.0,1,3,1,0,0,0,0,68,1517,176,Normal
70,Los Angeles,Other,5870,574.0,1,1,1,1.1677102202202745,0,85745.75535825967,56829.25293397416,2.0,1,1,0,0,1,0,1,1689,2887,368,Normal
53,Houston,Accountant,27455,470.0,105,0,8,0.8228179946998444,0,1719.8478539487814,807.6961255272341,4.0,2,4,1,1,0,0,0,627,1021,76,High
57,Houston,Banker,5682,687.0,0,0,1,1.1324628889335884,0,12080.68040022866,8971.746586479798,0.0,0,0,0,0,0,0,0,1777,1923,249,Normal
20,Atlanta,Accountant,16310,422.0,1,0,1,1.4042336980174843,0,64434.60915863755,51612.806450768825,4.0,2,4,1,0,0,0,0,401,1323,75,Normal
39,New York,Accountant,3454,604.0,0,0,1,1.150563872809241,0,33348.172918228614,21576.869292499887,0.0,0,0,0,0,0,0,0,1023,1014,207,Normal
70,Dallas,Other,9162,545.0,0,0,1,1.465333761869385,0,73440.95380112891,50198.42742647606,1.0,0,1,0,0,0,0,0,781,1904,64,Normal
19,Houston,Doctor,91104,677.0,0,0,1,0.981162353,0,47392.87627298361,30352.353060193185,0.0,0,4,0,0,1,0,1,331,2490,346,Normal
41,Dallas,Software Developer,72993,672.0,39,0,2,1.1690718471151806,0,50485.28776076917,30352.353060193185,1.0,0,0,1,0,0,0,0,1341,3465,59,Normal
