account_open_date,age,location,occupation,income_level,fico_score,delinquency_status,charge_off_status,number_of_credit_applications,debt_to_income_ratio,payment_methods_high_risk,max_balance,avg_balance_last_12months,number_of_delinquent_accounts,number_of_defaulted_accounts,earliest_credit_account,recent_trade_activity,new_accounts_opened_last_12months,multiple_applications_short_time_period,unusual_submission_pattern,applications_submitted_during_odd_hours,watchlist_blacklist_flag,public_records_flag
2020-11-05,27,Miami,Doctor,79624,395.0,99,0,1,1.9333455543069415,1,16231.673611388169,4108.013523282659,4.0,1,2019-04-07,2023-12-26,3,1,True,1,0,0
2021-12-31,18,Los Angeles,Other,8160,740.0,0,0,1,1.7900206034235613,0,80662.88215169671,49794.93446847945,0.0,0,2020-08-09,2024-04-17,0,0,False,0,0,1
2023-08-29,47,Miami,Artist,53160,647.0,0,0,1,1.5860458040026817,0,25453.261259215316,21930.6859123492,0.0,0,2020-03-24,2024-07-06,0,0,,0,0,0
2024-06-09,46,Miami,Consultant,16743,702.0,0,1,1,1.8813034435818503,0,65531.40894207751,51979.37748549528,0.0,0,2016-10-24,2024-06-11,0,0,False,1,0,0
2021-09-14,41,Miami,Other,4581,819.0,0,0,1,0.9822762036422876,0,59821.57036780832,51992.77331249811,0.0,0,2015-12-11,2024-08-20,0,0,False,0,0,0
2021-08-05,34,Atlanta,Teacher,43421,547.0,0,0,1,1.3254550407189376,0,100835.5962183784,30352.353060193185,1.0,0,2022-07-09,2024-04-02,2,0,,0,0,0
2021-05-10,49,Chicago,Teacher,19077,423.0,119,1,5,2.99064331747216,1,8125.989371627481,2080.079035183318,4.0,2,2016-06-14,2024-09-20,4,1,False,1,0,1
2023-08-25,38,Seattle,Teacher,45894,754.0,0,0,1,1.6724420652211958,0,58234.6395,49849.40302145419,0.0,0,2018-03-24,2024-03-04,4,0,False,0,0,1
2024-02-23,34,Los Angeles,Artist,71661,523.0,0,0,1,0.7903646134977383,0,96935.0967,67962.12357624476,1.0,1,2023-02-22,2024-05-14,2,0,False,0,1,0
2024-05-23,49,Los Angeles,Accountant,59296,790.0,9,0,1,1.1840105149535605,0,69304.94927445796,54638.40124532583,0.0,0,2020-06-03,2024-09-30,0,0,False,0,0,0
2024-06-05,25,Chicago,Banker,5906,419.0,102,1,3,2.094351452323361,0,21257.63475847453,6003.429649214901,,2,2022-03-08,2024-04-06,4,1,,1,0,1
